0x0E814810 - Sec_RFT-SpawnerAttacker-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B8083B3 - PointB-BuildingInteriorE-02.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC7018D5 - c_GRU-HGMalatok-100_CN03.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D82ADA5 - PointD_Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA985A769 - Zone_002.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xB00215CC - Zone_Comp.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x320A7339 - Dummy_CalfR.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 109 }
0xB31038A1 - c_Msc-BenchdesignA_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6E83766C - SkylineFinal_MainLevelSector.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814807 - Sec_RFT-PointB-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6880882E - c_ShootingTarget03_CN.zon - Zone { unk_01: 24, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xA9858F61 - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B80FA8D - PointC_Main_Ent.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B808646 - PointB-BuildingInteriorK.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E803613 - Sec_SKY-SpwLT-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E80362F - Sec_SKY-RTPointB-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E80484F - Sec_SKY-AmbColour-SpwRT-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA984B31C - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711B99 - SectionMain-A1.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B810484 - PointB_Main (002).zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711BA1 - SectionMain-A-ContainerHouseInt.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA98526FD - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E803632 - Sec_SKY-PointC-Capture.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E81480E - Sec_RFT-PointA-D.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x43803F5C - c_Blitz_top_CN_L.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6F87F37F - MUB-MainSector.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814815 - Sec_RFT-PointC-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814816 - Sec_RFT-PointC-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E81480D - Sec_RFT-PointA-C.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6F86A48B - OR-MainSector.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D8286FB - PointACorner.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E81480C - Sec_RFT-PointA-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xAE102835 - c_PlasticBox_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6E804DB0 - Sec_SKY-AmbColour-SpwLT-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC7018D6 - c_GRU-HGMalatok-100_CN04.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0xE0701C71 - c_GRO-A-Blitz-Shield1_CN.zon - Zone { unk_01: 24, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xEC7018D4 - c_GRU-HGMalatok-100_CN02.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0x320A7332 - Dummy_Pelvis.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Sphere(ZoneSphere { x: 0.0, y: 0.0, z: 0.0, radius: 0.23, unk_01: 3.078125 }), unk_04: 3, unk_05: 0, unk_06: 102 }
0x0E81482C - Sec_RFT-SpawnerAttacker-ALower.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711B98 - SectionMain-ASpawnPt.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xAE1050A1 - c_ElectricBox_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E81481E - Sec_RFT-BackGroundEast-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA985045F - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E81481A - Sec_RFT-BridgeA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xB31037AD - c_Msc-StreetLight_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
